"Cell Potential[V]", "Cell Current[A]"
-0.00037784093,  5.5938642E-6
-0.0024196271,  1.5729985E-5
-0.0044416562,  1.4074970E-5
-0.0064585404,  1.2771844E-5
-0.0084534025,  1.1738077E-5
-0.010435077,  1.0872349E-5
-0.012478812,  1.0146985E-5
-0.014455435,  9.5352942E-6
-0.016174499,  9.0711709E-6
-0.018179577,  8.5271570E-6
-0.020141546,  8.1508559E-6
-0.022181343,  7.7322246E-6
-0.024186276,  7.4199515E-6
-0.026208591,  7.0910277E-6
-0.028202830,  6.8405461E-6
-0.030204474,  6.5928061E-6
-0.032206378,  6.3620907E-6
-0.034215620,  6.1511810E-6
-0.036218094,  5.9204358E-6
-0.038194571,  5.8030679E-6
-0.039939588,  5.6840212E-6
-0.041908509,  5.4891004E-6
-0.043922701,  5.3156862E-6
-0.045928811,  5.1762201E-6
-0.048932664,  5.0306545E-6
-0.051775261,  4.9150203E-6
-0.053834730,  4.7773076E-6
-0.055910904,  4.6651739E-6
-0.057924994,  4.5543743E-6
-0.059916453,  4.4691414E-6
-0.061913993,  4.3599672E-6
-0.063947728,  4.2485000E-6
-0.065794048,  4.2462218E-6
-0.067702484,  4.0775143E-6
-0.069669243,  4.0384582E-6
-0.071652202,  3.8860219E-6
-0.073661604,  3.8289907E-6
-0.075799438,  3.7206677E-6
-0.077845710,  3.6589596E-6
-0.079849730,  3.5989263E-6
-0.081770068,  3.5178761E-6
-0.083830229,  3.4223620E-6
-0.085826149,  3.3144378E-6
-0.087867699,  3.2636150E-6
-0.089727265,  3.2694396E-6
-0.091539303,  3.1653418E-6
-0.093548509,  3.0682531E-6
-0.095625921,  3.0013075E-6
-0.097720665,  2.9044899E-6
-0.099683589,  2.8951086E-6
-0.10170116,  2.7663884E-6
-0.10373435,  2.7162832E-6
-0.10570144,  2.6155434E-6
-0.10776669,  2.5684320E-6
-0.10976218,  2.5231566E-6
-0.11174371,  2.4253141E-6
-0.11376417,  2.3866893E-6
-0.11548305,  2.3766540E-6
-0.11756129,  2.2822474E-6
-0.11957048,  2.1884473E-6
-0.12180293,  2.1237713E-6
-0.12423042,  2.0081737E-6
-0.12639905,  1.9454928E-6
-0.12856308,  1.8820840E-6
-0.13038504,  1.8387978E-6
-0.13264278,  1.7450365E-6
-0.13469054,  1.6755393E-6
-0.13666340,  1.6072206E-6
-0.13873584,  1.5601868E-6
-0.14041585,  1.6222200E-6
-0.14252494,  1.4585188E-6
-0.14464908,  1.3976219E-6
-0.14637607,  1.2971260E-6
-0.14855581,  1.2812108E-6
-0.15045053,  1.1963086E-6
-0.15253352,  1.1505627E-6
-0.15288684,  1.0207761E-6
-0.15463192,  9.6053233E-7
-0.15640618,  1.2591891E-6
-0.15858231,  9.5488878E-7
-0.16069420,  8.9263618E-7
-0.16252326,  9.1317107E-7
-0.16446339,  8.2724592E-7
-0.16628505,  7.4121369E-7
-0.16855018,  7.0566234E-7
-0.17057893,  6.2056819E-7
-0.17242347,  6.0472242E-7
-0.17459436,  5.0593743E-7
-0.17649094,  4.9413915E-7
-0.17859592,  4.3598569E-7
-0.18081055,  3.7775751E-7
-0.18255601,  3.3497632E-7
-0.18478457,  2.8783255E-7
-0.18666397,  3.2710938E-7
-0.18827264,  2.4678238E-7
-0.19053094,  1.9498239E-7
-0.19229843,  1.4646486E-7
-0.19452006,  1.1437564E-7
-0.19663372,  5.1994626E-8
-0.19830239,  5.6487952E-8
-0.20059816,  -2.7705705E-8
-0.20248863,  -4.4251505E-8
-0.20470286,  -7.5181445E-8
-0.20682442,  -1.1147836E-7
-0.20849097,  -1.4682855E-7
-0.21078661,  -1.5072125E-7
-0.21246615,  -1.2066353E-7
-0.21441069,  -2.1284862E-7
-0.21652650,  -2.2036780E-7
-0.21828699,  -2.8158508E-7
-0.22054102,  -2.8355357E-7
-0.22262453,  -3.4407033E-7
-0.22444974,  -3.2655162E-7
-0.22658224,  -3.8728966E-7
-0.22841777,  -4.0426300E-7
-0.23059622,  -4.2391767E-7
-0.23269312,  -4.4805345E-7
-0.23441687,  -4.6524107E-7
-0.23641217,  -4.0631086E-7
-0.23833581,  -4.6719554E-7
-0.24025474,  -5.2381576E-7
-0.24234861,  -5.1620332E-7
-0.24427173,  -5.6916871E-7
